Membership Type,Last 4 of CC,Transaction Date,Charge/Refund,Fee Category,Fee Type,Charge Amount,Original Charge Date,Original Charge Amount,Refund Amount,Net,Payment Status
24 Hour Kiosk,2553,1/18/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,8393,1/19/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1964,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0536,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6136,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8393,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8393,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0808,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0130,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4725,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4725,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4066,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4066,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8844,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8844,1/19/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,4927,1/20/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4927,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8873,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8873,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2595,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0493,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0493,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3471,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3471,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1982,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1982,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0973,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0973,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/20/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,2553,1/20/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,2553,1/20/13,Charge,Usage Fee,,$6.00,,$0.00,$0.00,$6.00,Processed
24 Hour Kiosk,8807,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2030,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2030,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2030,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6927,1/20/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1964,1/21/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,8393,1/21/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,8393,1/21/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,5602,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6570,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6570,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6175,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6175,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5846,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5846,1/21/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4927,1/22/13,Charge,Usage Fee,,$12.00,,$0.00,$0.00,$12.00,Processed
24 Hour Kiosk,5279,1/22/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2595,1/22/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Pass,9620,1/22/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8807,1/22/13,Charge,Usage Fee,,$56.00,,$0.00,$0.00,$56.00,Processed
24 Hour Kiosk,6927,1/22/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,8279,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8279,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5602,1/23/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,2553,1/23/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,2553,1/23/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,6570,1/23/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,6570,1/23/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9066,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2787,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8977,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8770,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9108,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2239,1/23/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,9187,1/25/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,7740,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4832,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5392,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1218,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1218,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1218,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3976,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6128,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2418,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2418,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2030,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2553,1/25/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3301,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3301,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9063,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2032,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2032,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6839,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6839,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3775,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3775,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3471,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,3471,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2539,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2539,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5918,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5918,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8296,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8672,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4182,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6608,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6209,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0148,1/26/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,4646,1/27/13,Charge,Membership Fee,Annual Membership,$50.00,,$0.00,$0.00,$50.00,Processed
24 Hour Kiosk,1863,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1863,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1863,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8159,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8159,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2011,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2011,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4646,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5438,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,5438,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0118,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0118,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0118,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0118,1/27/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1218,1/27/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,1218,1/27/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,1218,1/27/13,Charge,Usage Fee,,$12.00,,$0.00,$0.00,$12.00,Processed
24 Hour Kiosk,3976,1/27/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,6128,1/27/13,Charge,Usage Fee,,$14.00,,$0.00,$0.00,$14.00,Processed
24 Hour Kiosk,3301,1/28/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,3301,1/28/13,Charge,Usage Fee,,$4.00,,$0.00,$0.00,$4.00,Processed
24 Hour Kiosk,9063,1/28/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,2032,1/28/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,2032,1/28/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,6839,1/28/13,Charge,Usage Fee,,$28.00,,$0.00,$0.00,$28.00,Processed
24 Hour Kiosk,6839,1/28/13,Charge,Usage Fee,,$28.00,,$0.00,$0.00,$28.00,Processed
24 Hour Kiosk,3775,1/28/13,Charge,Usage Fee,,$28.00,,$0.00,$0.00,$28.00,Processed
24 Hour Kiosk,3775,1/28/13,Charge,Usage Fee,,$28.00,,$0.00,$0.00,$28.00,Processed
24 Hour Kiosk,0239,1/28/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8672,1/28/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,8296,1/28/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,4182,1/28/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,6608,1/28/13,Charge,Usage Fee,,$8.00,,$0.00,$0.00,$8.00,Processed
24 Hour Kiosk,2011,1/29/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,2011,1/29/13,Charge,Usage Fee,,$10.00,,$0.00,$0.00,$10.00,Processed
24 Hour Kiosk,5438,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,5438,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0118,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0118,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0118,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,0118,1/29/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,6724,1/30/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
Annual Membership,2304,2/1/13,Charge,Usage Fee,,$2.00,,$0.00,$0.00,$2.00,Processed
24 Hour Kiosk,9640,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2853,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2853,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1803,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4662,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4662,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1863,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1863,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1618,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,2179,2/2/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1618,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1618,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Pass,2179,2/2/13,Charge,Membership Fee,24 Hour Pass,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1863,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8372,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8372,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,2293,2/2/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0283,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,9369,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0235,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8114,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,8114,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1865,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1865,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,4144,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1821,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,1828,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0388,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6698,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6698,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6698,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6698,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,6129,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
24 Hour Kiosk,0913,2/3/13,Charge,Membership Fee,24 Hour Kiosk,$5.00,,$0.00,$0.00,$5.00,Processed
